agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success_rate
independent,17,61.012882000000005,27.7172,6.2696,27.5414,0.0,0.5349520000000001,0.5392
independent,11,62.64786399999999,27.7888,6.3122,27.7732,0.0,0.538934,0.5328
independent,15,61.707193999999994,27.4052,6.314,27.235,0.0,0.530122,0.5534
full,17,67.77396799999998,26.8656,6.464,22.0156,2245.4592,0.580562,0.623
independent,9,62.960374,27.0868,6.402,27.04,0.0,0.5237860000000001,0.5816
independent,3,61.045958000000006,27.7634,6.2338,27.5808,0.0,0.53734,0.5176
independent,7,62.24720799999999,27.9426,6.2746,28.069,0.0,0.540856,0.5136
full,7,69.17472799999997,26.8602,6.4958,21.3516,2099.1664,0.587346,0.632
independent,5,62.269176,27.4038,6.3328,27.2468,0.0,0.5310940000000001,0.5602
limited,17,63.81043399999999,27.7098,6.3454,24.4086,810.4992,0.562462,0.5548
independent,1,59.92123199999998,28.0922,6.1766,28.6842,0.0,0.535742,0.4746
limited,3,64.42875999999998,27.3608,6.3802,23.9512,801.68,0.5578539999999998,0.5754
limited,15,64.57550999999998,27.1854,6.3912,23.3084,746.6448,0.5583440000000001,0.5986
independent,13,60.359252000000005,27.9932,6.164,28.8618,0.0,0.53456,0.479
full,15,67.95203999999998,26.8122,6.4792,21.5786,2425.4416,0.58353,0.6374
selective,17,62.47844999999999,26.9116,6.3682,24.794,456.1424,0.536674,0.605
selective,15,61.79155399999999,27.2142,6.3494,25.3352,460.9712,0.5388299999999999,0.5836
selective,5,62.42981599999999,26.9272,6.361,24.9678,455.616,0.5364059999999999,0.5888
selective,7,64.19194799999998,27.0662,6.4012,24.4796,461.4208,0.5487860000000001,0.5918
selective,3,65.64823199999998,26.5776,6.4402,23.691,452.2752,0.547456,0.6162
selective,9,63.633846,26.6898,6.4166,24.5132,451.0944,0.53613,0.5962
selective,11,62.88333799999999,27.3872,6.3392,25.7628,469.5712,0.544786,0.5518
full,11,66.05662599999998,27.6138,6.3772,23.4896,2649.416,0.588512,0.552
selective,1,61.36282399999999,27.8298,6.2324,26.7816,471.4928,0.548196,0.5022
full,9,66.34312999999999,27.0838,6.4412,22.7484,2858.0752,0.58031,0.5918
full,3,68.01102999999998,26.8012,6.4954,21.8596,2392.4032,0.580814,0.6258
limited,11,64.51562399999999,27.3188,6.3896,23.6612,722.9792,0.560704,0.5774
selective,13,62.58410999999999,27.2278,6.2996,25.3792,463.5328,0.54508,0.5446
limited,1,63.542417999999984,27.7362,6.2992,24.8382,771.5408,0.56123,0.5262
limited,7,64.40132199999998,27.6692,6.3542,23.8862,796.8384,0.567392,0.5546
limited,9,63.66783599999999,27.503,6.346,24.738,827.9888,0.5537240000000001,0.5456
full,5,69.32165399999998,26.4568,6.5278,21.1,2077.52,0.5785239999999999,0.6568
limited,5,64.20179799999998,27.5728,6.3618,24.5336,845.5392,0.5588,0.5638
limited,13,64.65644799999997,27.3574,6.3306,23.88,759.0448,0.561176,0.558
full,1,66.21340799999999,27.6354,6.3776,23.4604,2672.4608,0.589706,0.5534
full,13,69.18610199999998,26.7092,6.4652,21.518,1955.9936,0.583248,0.6138
