episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,full,5,-71.53999999999996,57,3,97,5096,0.36,0
2,full,5,-45.71000000000001,57,5,103,7392,0.38,0
3,full,5,-42.98000000000003,57,4,88,6184,0.51,0
4,full,5,-113.18999999999988,57,2,93,6368,0.27,0
5,full,5,-24.56000000000002,57,6,70,5184,0.6,0
6,full,5,-93.7899999999999,57,2,88,5240,0.38,0
7,full,5,-51.30000000000001,57,3,99,7824,0.46,0
8,full,5,-34.30000000000003,57,6,75,6032,0.54,0
9,full,5,-53.62,57,3,101,7904,0.44,0
10,full,5,-44.320000000000036,57,5,82,7320,0.49,0
11,full,5,-50.41000000000002,57,2,84,7256,0.58,0
12,full,5,-60.780000000000015,57,4,97,3288,0.39,0
13,full,5,-72.39,57,3,88,3312,0.44,0
14,full,5,-72.99999999999997,57,2,88,8928,0.46,0
15,full,5,-67.00000000000004,57,2,100,4416,0.41,0
16,full,5,-45.12000000000002,57,4,92,4840,0.47,0
17,full,5,-75.68,57,4,98,4960,0.3,0
18,full,5,-57.74000000000003,57,4,90,5488,0.42,0
19,full,5,-41.13000000000002,57,4,90,5952,0.51,0
20,full,5,-14.30000000000001,57,5,101,5864,0.5,0
21,full,5,-101.92999999999998,57,3,80,2712,0.36,0
22,full,5,-60.48999999999999,57,3,82,6736,0.52,0
23,full,5,-56.210000000000036,57,4,86,5968,0.47,0
24,full,5,-7.330000000000014,57,6,80,5768,0.62,0
25,full,5,-23.86000000000001,57,5,91,5696,0.51,0
26,full,5,-58.50999999999999,57,2,93,6168,0.5,0
27,full,5,-9.46000000000003,57,6,92,4328,0.55,0
28,full,5,-62.18999999999998,57,3,97,4624,0.41,0
29,full,5,-103.14999999999988,57,1,98,3904,0.31,0
30,full,5,-13.180000000000035,57,5,85,5840,0.61,0
31,full,5,-80.79999999999993,57,3,71,6728,0.49,0
32,full,5,-46.84999999999998,57,4,80,6848,0.54,0
33,full,5,-126.93999999999986,57,0,90,1496,0.34,0
34,full,5,-11.600000000000025,57,6,94,10496,0.53,0
35,full,5,-51.26000000000002,57,3,94,9560,0.48,0
36,full,5,-81.58999999999997,57,2,97,4448,0.38,0
37,full,5,-45.199999999999996,57,4,88,4384,0.5,0
38,full,5,-26.160000000000025,57,4,89,5976,0.56,0
39,full,5,-45.76,57,4,76,6928,0.57,0
40,full,5,-40.10000000000001,57,4,85,5240,0.54,0
41,full,5,-77.72999999999993,57,3,84,4112,0.43,0
42,full,5,-54.50999999999998,57,4,86,5352,0.48,0
43,full,5,-22.870000000000022,57,4,103,7584,0.51,0
44,full,5,-47.750000000000036,57,2,107,6168,0.46,0
45,full,5,-93.82999999999994,57,2,83,6168,0.41,0
46,full,5,-75.48999999999995,57,3,94,3056,0.37,0
47,full,5,-30.760000000000016,57,4,103,7200,0.47,0
48,full,5,-90.14999999999999,57,2,85,4096,0.41,0
49,full,5,-5.389999999999997,57,5,90,6272,0.62,0
50,full,5,-58.19000000000003,57,4,93,6480,0.42,0
51,full,5,-50.600000000000016,57,3,88,4232,0.52,0
52,full,5,-89.67999999999991,57,1,98,4032,0.39,0
53,full,5,-28.12000000000004,57,5,77,5888,0.61,0
54,full,5,-77.69999999999992,57,1,76,9200,0.57,0
55,full,5,-35.72000000000003,57,4,92,5928,0.51,0
56,full,5,-13.720000000000026,53,7,74,5144,0.5,1
57,full,5,-0.5000000000000197,57,6,90,6992,0.6,0
58,full,5,-93.71999999999991,57,3,75,4520,0.4,0
59,full,5,-66.43999999999998,57,3,92,6352,0.44,0
60,full,5,-31.580000000000023,57,5,76,3760,0.58,0
61,full,5,-3.9500000000000126,55,7,82,5864,0.54,1
62,full,5,-59.57000000000004,57,3,104,3464,0.38,0
63,full,5,-69.38,57,3,91,9008,0.43,0
64,full,5,-45.74,57,4,90,5928,0.48,0
65,full,5,-16.07000000000002,55,7,79,6440,0.5,1
66,full,5,-75.45999999999997,57,3,89,6616,0.41,0
67,full,5,-43.91,57,3,84,6024,0.57,0
68,full,5,-52.38,57,4,95,5472,0.42,0
69,full,5,-33.51000000000002,57,4,98,6072,0.49,0
70,full,5,-67.72999999999993,57,2,93,4200,0.46,0
71,full,5,-8.630000000000013,57,5,103,7856,0.54,0
72,full,5,-37.79000000000001,57,4,91,7080,0.51,0
73,full,5,-60.99999999999999,57,2,101,6168,0.45,0
74,full,5,53.17999999999999,28,7,36,3944,0.42,1
75,full,5,-37.84000000000002,57,4,107,5632,0.44,0
76,full,5,-28.00000000000002,57,5,92,4992,0.51,0
77,full,5,-64.87,57,4,95,5560,0.37,0
78,full,5,-19.140000000000008,57,4,101,9080,0.53,0
79,full,5,-83.61999999999998,57,1,83,3944,0.49,0
80,full,5,-73.35999999999999,57,3,67,4288,0.54,0
81,full,5,-48.629999999999974,57,4,87,6352,0.49,0
82,full,5,-22.560000000000038,57,6,96,4952,0.46,0
83,full,5,-21.970000000000024,57,6,83,7856,0.54,0
84,full,5,-97.48,57,2,71,3072,0.45,0
85,full,5,-34.669999999999995,57,6,88,4584,0.46,0
86,full,5,-57.33999999999999,57,2,95,5776,0.5,0
87,full,5,-66.98999999999991,57,4,74,7736,0.5,0
88,full,5,-30.389999999999986,57,4,92,7024,0.53,0
89,full,5,-59.23000000000004,57,4,87,7144,0.46,0
90,full,5,-59.480000000000004,57,3,87,7952,0.5,0
91,full,5,-52.92999999999998,57,4,98,3416,0.41,0
92,full,5,-56.32000000000002,57,4,83,6960,0.49,0
93,full,5,-67.11999999999998,57,3,73,3688,0.55,0
94,full,5,-13.930000000000023,57,5,81,4728,0.63,0
95,full,5,-18.25000000000002,57,5,100,5280,0.51,0
96,full,5,-103.55999999999985,57,2,88,5408,0.34,0
97,full,5,-92.71999999999993,57,1,94,5096,0.38,0
98,full,5,-30.049999999999958,57,6,61,3992,0.64,0
99,full,5,-53.880000000000024,57,4,85,6616,0.48,0
100,full,5,-76.43999999999997,57,2,96,5512,0.42,0
101,full,5,-40.38000000000001,57,3,92,6880,0.54,0
102,full,5,-24.590000000000025,57,6,79,4400,0.56,0
103,full,5,-22.18000000000002,57,5,80,6080,0.6,0
104,full,5,-80.06999999999996,57,1,115,5744,0.32,0
105,full,5,-40.35000000000002,57,4,84,8312,0.56,0
106,full,5,-54.62000000000002,57,2,87,5632,0.56,0
107,full,5,-53.39000000000003,57,2,103,2960,0.47,0
108,full,5,-77.85999999999993,57,3,91,4960,0.38,0
109,full,5,-64.15999999999998,57,2,104,4808,0.42,0
110,full,5,-66.78,57,2,87,5696,0.51,0
