episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,independent,17,-70.84999999999995,57,3,83,0,0.47,0
2,independent,17,-51.89000000000002,57,4,92,0,0.47,0
3,independent,17,-78.55999999999995,57,5,80,0,0.39,0
4,independent,17,-37.290000000000006,57,5,91,0,0.48,0
5,independent,17,-83.61999999999993,57,3,101,0,0.34,0
6,independent,17,-66.41999999999997,57,4,87,0,0.42,0
7,independent,17,-62.57000000000003,57,4,96,0,0.4,0
8,independent,17,-71.21999999999994,57,3,96,0,0.4,0
9,independent,17,-67.41999999999992,57,2,102,0,0.42,0
10,independent,17,-72.5,57,2,89,0,0.48,0
11,independent,17,-50.39000000000002,57,4,89,0,0.48,0
12,independent,17,-38.56000000000002,57,4,87,0,0.54,0
13,independent,17,-75.50999999999996,57,2,83,0,0.5,0
14,independent,17,-56.29000000000001,57,3,91,0,0.52,0
15,independent,17,-121.6599999999999,57,1,89,0,0.32,0
16,independent,17,-21.830000000000027,57,6,84,0,0.58,0
17,independent,17,-60.14999999999994,57,3,89,0,0.49,0
18,independent,17,-62.74999999999998,57,3,92,0,0.46,0
19,independent,17,-35.790000000000006,57,5,74,0,0.61,0
20,independent,17,-67.24999999999999,57,4,93,0,0.39,0
21,independent,17,-55.590000000000025,57,4,86,0,0.47,0
22,independent,17,-69.56,57,2,91,0,0.47,0
23,independent,17,-103.65999999999997,57,1,100,0,0.32,0
24,independent,17,-59.25000000000002,57,4,105,0,0.35,0
25,independent,17,-39.230000000000004,57,4,93,0,0.5,0
26,independent,17,-84.33999999999997,57,2,109,0,0.32,0
27,independent,17,-103.05999999999985,57,1,101,0,0.32,0
28,independent,17,-91.64000000000003,57,2,90,0,0.4,0
29,independent,17,-82.55999999999999,57,2,90,0,0.45,0
30,independent,17,-82.28999999999996,57,2,77,0,0.52,0
31,independent,17,-73.42000000000006,57,2,96,0,0.44,0
32,independent,17,-37.51000000000002,57,5,88,0,0.51,0
33,independent,17,-63.109999999999985,57,3,90,0,0.48,0
34,independent,17,-40.740000000000045,57,5,91,0,0.49,0
35,independent,17,-109.10000000000001,57,0,85,0,0.45,0
36,independent,17,-41.15999999999997,57,5,81,0,0.52,0
37,independent,17,-57.77000000000004,57,3,98,0,0.44,0
38,independent,17,-61.99,57,3,97,0,0.44,0
39,independent,17,-87.79999999999987,57,2,78,0,0.47,0
40,independent,17,-72.21999999999997,57,2,108,0,0.35,0
41,independent,17,-69.59000000000002,57,4,97,0,0.35,0
42,independent,17,-63.449999999999974,57,4,87,0,0.44,0
43,independent,17,-62.34999999999999,57,4,87,0,0.43,0
44,independent,17,-79.99999999999994,57,2,89,0,0.46,0
45,independent,17,-78.80000000000003,57,2,101,0,0.39,0
46,independent,17,-20.530000000000022,53,7,66,0,0.53,1
47,independent,17,-86.30999999999992,57,2,98,0,0.36,0
48,independent,17,-87.63999999999994,57,2,80,0,0.47,0
49,independent,17,-95.76,57,2,102,0,0.32,0
50,independent,17,-50.20999999999997,57,3,76,0,0.6,0
51,independent,17,-59.86999999999999,57,3,90,0,0.47,0
52,independent,17,-86.15999999999993,57,1,83,0,0.48,0
53,independent,17,-70.25999999999998,57,2,105,0,0.37,0
54,independent,17,-86.0699999999999,57,2,92,0,0.41,0
55,independent,17,-80.33999999999992,57,2,86,0,0.47,0
56,independent,17,-19.790000000000013,56,7,94,0,0.42,1
57,independent,17,-21.660000000000014,57,6,105,0,0.43,0
58,independent,17,-41.29000000000001,57,4,89,0,0.52,0
59,independent,17,-88.56999999999992,57,3,84,0,0.4,0
60,independent,17,-52.05000000000001,57,4,85,0,0.52,0
61,independent,17,-53.220000000000034,57,4,85,0,0.51,0
62,independent,17,-38.76000000000001,57,4,94,0,0.52,0
63,independent,17,-72.50999999999995,57,3,97,0,0.4,0
64,independent,17,-74.77999999999999,57,2,99,0,0.42,0
65,independent,17,-36.570000000000014,57,6,84,0,0.48,0
66,independent,17,-80.4799999999999,57,2,99,0,0.37,0
67,independent,17,-78.35000000000004,57,2,90,0,0.46,0
68,independent,17,-82.24999999999999,57,3,83,0,0.44,0
69,independent,17,-78.14999999999992,57,2,93,0,0.44,0
70,independent,17,-70.54000000000002,57,4,87,0,0.41,0
71,independent,17,-62.68999999999995,57,4,82,0,0.48,0
72,independent,17,-91.49999999999993,57,2,82,0,0.43,0
73,independent,17,-39.99000000000001,57,5,85,0,0.5,0
74,independent,17,-89.81000000000003,57,2,96,0,0.38,0
