episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,limited,97,-28.120000000000037,57,6,87,1584,0.49,0
2,limited,97,-34.890000000000036,57,5,76,1976,0.58,0
3,limited,97,-39.80000000000004,57,5,93,1400,0.45,0
4,limited,97,-68.38999999999999,57,4,98,1192,0.35,0
5,limited,97,-114.49999999999989,57,3,77,856,0.32,0
6,limited,97,-79.69999999999997,57,2,92,1824,0.41,0
7,limited,97,-66.12999999999994,57,3,86,1672,0.46,0
8,limited,97,-28.330000000000034,57,4,91,1288,0.56,0
9,limited,97,-47.46000000000002,57,3,99,1392,0.47,0
10,limited,97,-67.31999999999998,57,5,90,1536,0.35,0
11,limited,97,-76.64999999999999,57,1,92,1400,0.46,0
12,limited,97,-39.86000000000001,57,4,96,1744,0.48,0
13,limited,97,-33.10000000000002,57,5,94,1432,0.47,0
14,limited,97,-104.80999999999993,57,2,72,1488,0.41,0
15,limited,97,-35.949999999999996,57,5,84,1480,0.52,0
16,limited,97,-49.780000000000015,57,4,95,1824,0.44,0
17,limited,97,-82.85999999999991,57,1,92,1368,0.44,0
18,limited,97,-64.18999999999996,57,3,73,1768,0.55,0
19,limited,97,-47.87000000000001,57,3,91,1552,0.52,0
20,limited,97,-36.93,57,5,86,1416,0.49,0
21,limited,97,-150.03999999999994,57,0,94,856,0.22,0
22,limited,97,-81.73,57,2,75,1504,0.5,0
23,limited,97,-34.90000000000005,57,4,96,1880,0.49,0
24,limited,97,-49.93000000000001,57,3,101,1320,0.45,0
25,limited,97,-66.59999999999998,57,2,108,1728,0.39,0
26,limited,97,-17.900000000000016,57,5,99,1888,0.52,0
27,limited,97,-15.29000000000001,57,4,104,1360,0.53,0
28,limited,97,-52.54000000000001,57,4,98,1736,0.4,0
29,limited,97,-40.529999999999994,57,3,97,1632,0.52,0
30,limited,97,-41.10000000000001,57,5,96,1776,0.43,0
31,limited,97,-81.13999999999992,57,3,83,1184,0.43,0
32,limited,97,-65.36000000000003,57,3,87,1912,0.45,0
33,limited,97,-44.69000000000002,57,4,97,1624,0.45,0
34,limited,97,-73.05,57,3,91,1544,0.41,0
35,limited,97,-36.010000000000026,57,4,91,1904,0.53,0
36,limited,97,-100.57999999999987,57,3,67,1176,0.44,0
37,limited,97,-47.160000000000004,57,4,81,1824,0.54,0
38,limited,97,-17.590000000000007,57,5,95,1248,0.55,0
39,limited,97,-63.820000000000014,57,4,86,1568,0.44,0
40,limited,97,-63.12999999999996,57,3,86,1704,0.46,0
41,limited,97,-36.93000000000002,57,4,102,1400,0.44,0
42,limited,97,-86.32999999999996,57,4,84,1416,0.34,0
43,limited,97,-17.809999999999974,57,6,107,1296,0.44,0
44,limited,97,-50.08000000000001,57,3,86,1752,0.53,0
45,limited,97,-75.16000000000001,57,4,81,1592,0.41,0
46,limited,97,-60.870000000000005,57,2,99,1616,0.46,0
47,limited,97,-61.46999999999998,57,3,92,1488,0.46,0
48,limited,97,-100.26999999999987,57,1,105,1280,0.28,0
49,limited,97,-49.67000000000004,57,2,95,1824,0.53,0
50,limited,97,-31.330000000000016,57,4,86,2048,0.58,0
51,limited,97,-28.490000000000016,57,3,102,1976,0.54,0
52,limited,97,15.629999999999995,51,7,81,1816,0.53,1
53,limited,97,-67.19,57,3,93,1384,0.42,0
54,limited,97,-54.21999999999998,57,3,83,1928,0.54,0
55,limited,97,-32.81,57,4,88,1760,0.55,0
56,limited,97,-42.479999999999976,57,5,85,1552,0.48,0
57,limited,97,-22.520000000000007,57,5,89,1952,0.55,0
58,limited,97,-117.48999999999984,57,1,91,1448,0.29,0
59,limited,97,-23.200000000000045,57,5,71,1544,0.66,0
60,limited,97,-32.41000000000001,57,5,84,1272,0.53,0
61,limited,97,-124.9099999999998,57,2,71,1272,0.34,0
62,limited,97,-42.13,57,3,104,1456,0.45,0
63,limited,97,-44.15000000000004,57,4,88,1944,0.5,0
64,limited,97,-97.92999999999996,57,1,90,1520,0.39,0
65,limited,97,-13.920000000000014,57,5,88,1464,0.58,0
66,limited,97,-29.89000000000001,57,4,97,1360,0.51,0
67,limited,97,-34.52,57,4,96,1632,0.5,0
68,limited,97,-20.52000000000002,57,6,92,2032,0.5,0
69,limited,97,-60.08999999999996,57,5,78,1168,0.45,0
70,limited,97,-34.490000000000016,57,5,90,1656,0.5,0
71,limited,97,-32.86000000000002,57,6,85,1616,0.49,0
72,limited,97,-48.96000000000003,57,5,87,1160,0.46,0
73,limited,97,-56.90000000000001,57,3,104,2256,0.41,0
74,limited,97,-75.04999999999998,57,3,94,1824,0.37,0
75,limited,97,-24.04000000000001,57,5,99,1456,0.48,0
76,limited,97,-80.94999999999999,57,3,87,1208,0.38,0
77,limited,97,-55.650000000000034,57,3,90,1832,0.49,0
78,limited,97,-61.38999999999998,57,2,105,1392,0.4,0
79,limited,97,-62.53999999999999,57,3,101,1576,0.39,0
80,limited,97,-41.340000000000025,57,3,99,1480,0.49,0
81,limited,97,-58.540000000000035,57,4,89,1848,0.44,0
82,limited,97,-96.21999999999996,57,1,84,1288,0.42,0
83,limited,97,-71.71999999999996,57,2,98,1536,0.4,0
84,limited,97,-43.87,57,3,93,1952,0.52,0
85,limited,97,-66.49000000000001,57,5,80,1184,0.41,0
86,limited,97,-46.280000000000015,57,4,76,2136,0.57,0
87,limited,97,-16.670000000000016,57,5,82,1880,0.62,0
88,limited,97,-42.30999999999994,57,5,78,1264,0.52,0
89,limited,97,-33.12,57,5,92,2080,0.49,0
90,limited,97,-69.58999999999997,57,4,86,1608,0.39,0
91,limited,97,-95.4399999999999,57,0,106,1544,0.35,0
92,limited,97,-81.80999999999986,57,2,106,1688,0.32,0
93,limited,97,-78.03999999999994,57,2,78,1664,0.5,0
94,limited,97,-84.8699999999999,57,4,76,2040,0.41,0
95,limited,97,-86.11999999999993,57,2,93,1224,0.38,0
96,limited,97,-64.35999999999999,57,4,97,1832,0.38,0
97,limited,97,-77.19,57,3,76,1704,0.47,0
98,limited,97,-46.63000000000003,57,4,86,1744,0.52,0
99,limited,97,-67.94999999999999,57,1,89,2376,0.52,0
100,limited,97,-15.390000000000022,57,6,94,1496,0.5,0
101,limited,97,-62.73000000000001,57,1,115,1672,0.4,0
102,limited,97,-39.77000000000001,57,5,88,2096,0.49,0
103,limited,97,-93.61,57,2,82,1880,0.42,0
104,limited,97,-59.08,57,4,88,1400,0.45,0
105,limited,97,-45.70999999999997,57,4,91,1232,0.48,0
106,limited,97,-59.25999999999999,57,3,88,1744,0.49,0
107,limited,97,-100.28999999999989,57,2,97,1608,0.29,0
108,limited,97,-85.04999999999978,57,2,97,1336,0.36,0
109,limited,97,-17.930000000000014,57,6,92,1384,0.51,0
110,limited,97,-56.68000000000003,57,3,95,1432,0.46,0
111,limited,97,-88.68999999999988,57,2,105,1240,0.31,0
112,limited,97,-64.87,57,3,95,1216,0.42,0
113,limited,97,-52.85000000000002,57,4,89,1232,0.45,0
114,limited,97,-26.950000000000028,57,6,78,1592,0.55,0
115,limited,97,-52.890000000000015,57,4,89,1384,0.48,0
116,limited,97,-59.01,57,2,92,1320,0.51,0
117,limited,97,-56.800000000000004,57,4,79,1392,0.5,0
118,limited,97,-76.04999999999997,57,2,82,1352,0.49,0
119,limited,97,-50.42000000000001,57,4,98,1312,0.42,0
120,limited,97,-116.39999999999978,57,0,98,1184,0.29,0
121,limited,97,-59.36,57,2,99,1424,0.48,0
122,limited,97,-46.33000000000001,57,4,95,1712,0.46,0
123,limited,97,-20.330000000000013,57,5,93,1392,0.54,0
124,limited,97,-18.410000000000014,57,6,95,1608,0.49,0
125,limited,97,-56.93000000000001,57,3,93,1848,0.47,0
126,limited,97,-27.589999999999986,57,6,91,1176,0.49,0
127,limited,97,-48.650000000000006,57,4,96,1304,0.45,0
128,limited,97,-39.98,57,3,78,1808,0.63,0
129,limited,97,-70.35999999999999,57,2,94,1464,0.45,0
