episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,selective,5,-52.740000000000045,57,3,100,616,0.44,0
2,selective,5,-109.79000000000008,57,2,70,648,0.43,0
3,selective,5,-41.07,57,4,67,920,0.65,0
4,selective,5,-52.64,57,4,90,624,0.49,0
5,selective,5,-82.20999999999998,57,3,82,632,0.43,0
6,selective,5,-10.500000000000002,57,6,97,624,0.52,0
7,selective,5,-14.160000000000016,57,6,103,880,0.46,0
8,selective,5,-21.599999999999994,57,6,79,672,0.57,0
9,selective,5,-41.26000000000001,57,3,107,672,0.45,0
10,selective,5,-21.83000000000002,57,6,85,760,0.53,0
11,selective,5,-72.15999999999997,57,3,102,608,0.38,0
12,selective,5,-77.66,57,2,96,568,0.43,0
13,selective,5,-70.04999999999998,57,2,80,656,0.55,0
14,selective,5,-28.660000000000014,57,4,108,880,0.44,0
15,selective,5,-56.59999999999999,57,3,92,696,0.47,0
16,selective,5,-33.05000000000001,57,3,99,824,0.52,0
17,selective,5,-33.880000000000024,57,5,95,680,0.48,0
18,selective,5,-53.720000000000006,57,3,82,688,0.54,0
19,selective,5,-51.98999999999999,57,5,83,688,0.46,0
20,selective,5,-36.54000000000003,57,5,89,744,0.49,0
21,selective,5,-66.28999999999998,57,1,101,584,0.48,0
22,selective,5,-39.7,57,4,98,768,0.45,0
23,selective,5,-46.10999999999999,57,2,91,744,0.57,0
24,selective,5,-56.150000000000006,57,4,78,712,0.51,0
25,selective,5,-40.86000000000002,57,4,94,720,0.5,0
26,selective,5,-15.77000000000002,57,5,88,672,0.59,0
27,selective,5,-36.250000000000014,57,4,93,736,0.51,0
28,selective,5,-50.04,57,3,88,720,0.52,0
29,selective,5,-67.86999999999999,57,2,97,592,0.43,0
30,selective,5,-50.47000000000002,57,4,87,808,0.49,0
31,selective,5,-126.8099999999999,57,1,71,512,0.38,0
32,selective,5,-43.17000000000003,57,5,75,712,0.54,0
33,selective,5,-120.91999999999989,57,0,86,576,0.38,0
34,selective,5,-10.460000000000026,57,6,92,792,0.54,0
35,selective,5,-40.270000000000024,57,4,94,672,0.5,0
36,selective,5,-81.36999999999996,57,3,84,648,0.43,0
37,selective,5,-27.85000000000001,57,4,90,800,0.56,0
38,selective,5,-60.38,57,3,97,656,0.43,0
39,selective,5,-92.60999999999997,57,2,71,608,0.49,0
40,selective,5,-60.52000000000004,57,3,95,624,0.42,0
41,selective,5,-39.95,57,6,72,608,0.53,0
42,selective,5,-88.00999999999995,57,2,84,512,0.46,0
43,selective,5,-32.98000000000003,57,4,87,944,0.54,0
44,selective,5,-56.46,57,3,94,680,0.46,0
45,selective,5,-15.700000000000005,57,4,90,744,0.62,0
46,selective,5,-90.70999999999991,57,2,100,440,0.35,0
47,selective,5,-76.78999999999995,57,3,99,656,0.34,0
48,selective,5,-58.31999999999998,57,4,83,608,0.48,0
