agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success_rate
independent,3,59.77635800000001,30.3654,6.33,32.6244,0.0,0.5593980000000001,0.564
independent,9,57.79749800000001,30.6218,6.294,33.7728,0.0,0.5501400000000001,0.5296
independent,17,59.058116000000005,30.2836,6.3304,32.2598,0.0,0.557288,0.5726
selective,11,63.76316599999999,29.406,6.463,28.692,505.1232,0.572402,0.6132
independent,13,59.137524,30.8318,6.2632,33.9558,0.0,0.561442,0.5194
selective,17,62.881814,28.888,6.5064,27.2178,487.136,0.565128,0.6688
independent,1,57.122884000000006,30.9178,6.214,34.5164,0.0,0.553754,0.495
selective,3,62.06205,29.209,6.4572,28.49,497.0352,0.5626760000000001,0.6258
independent,5,60.101628000000005,29.8878,6.3838,31.8046,0.0,0.551212,0.5904
independent,11,57.69086,31.1298,6.2522,34.4912,0.0,0.560082,0.507
selective,5,64.870378,28.3154,6.553,26.2218,481.3376,0.5634239999999999,0.6922
independent,15,59.322269999999996,30.2388,6.3486,32.1538,0.0,0.556824,0.582
independent,7,58.25799,30.9884,6.2802,33.4864,0.0,0.564434,0.5224
selective,7,64.50723199999999,29.1258,6.4988,27.5798,496.2336,0.57535,0.648
selective,15,63.400252,28.932,6.5038,27.5942,490.824,0.565704,0.668
selective,9,64.421116,28.5836,6.5372,26.7422,486.4272,0.565876,0.6576
selective,1,61.51798,29.8484,6.3818,29.9194,506.9776,0.5700280000000001,0.5788
selective,13,62.93218799999999,29.544,6.413,29.3368,507.2544,0.570392,0.6024
limited,9,65.59503199999999,29.433,6.4984,26.955,853.7184,0.585408,0.6244
limited,1,66.26950399999998,29.749,6.458,26.9038,856.6608,0.597698,0.6164
limited,17,66.00349399999999,29.6226,6.4884,26.4696,899.9728,0.595442,0.6474
full,9,69.99959199999996,29.4016,6.5488,26.1822,2601.1888,0.609254,0.654
full,1,72.15479599999998,28.6502,6.6222,23.9638,1733.776,0.61197,0.7072
full,5,71.34632599999998,29.122,6.6002,24.6204,2930.8272,0.617964,0.7014
full,15,71.56014399999998,28.102,6.6474,23.259,1588.1392,0.600892,0.7422
limited,15,66.59722199999997,29.3414,6.5276,26.1556,837.3904,0.5922940000000001,0.6644
limited,13,67.10018399999998,29.9626,6.4798,27.251,922.344,0.6028359999999999,0.624
limited,3,66.88006599999999,29.2108,6.537,25.8844,842.608,0.5907720000000001,0.667
limited,11,64.34149999999998,30.5746,6.3806,28.7204,969.6608,0.6009220000000001,0.5696
full,17,70.55433799999999,29.4286,6.5618,25.549,2784.7968,0.617008,0.6816
limited,5,67.14668399999998,28.9692,6.553,25.3692,837.2448,0.5887600000000001,0.6848
full,3,70.39693399999999,29.64,6.5478,25.6324,3281.84,0.622606,0.6626
limited,7,66.73251199999999,29.5066,6.5192,25.9864,858.5376,0.5982900000000001,0.6486
full,13,71.43027199999999,29.2444,6.5642,25.1248,2269.8592,0.619372,0.6742
full,7,71.48498199999999,29.1594,6.5842,24.4708,2738.2592,0.6206520000000001,0.6886
full,11,69.84847799999999,29.8042,6.507,26.3838,2796.1344,0.619712,0.6334
