episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,full,17,-55.890000000000015,57,3,96,6216,0.45,0
2,full,17,-68.43,57,3,88,5232,0.45,0
3,full,17,-46.359999999999964,57,4,89,5720,0.49,0
4,full,17,-127.20999999999994,57,3,67,5296,0.31,0
5,full,17,-44.00000000000003,57,5,87,6816,0.48,0
6,full,17,-66.62999999999997,57,6,85,5456,0.34,0
7,full,17,-55.43000000000003,57,4,98,5176,0.4,0
8,full,17,-88.24999999999987,57,3,84,8080,0.37,0
9,full,17,-24.93,57,3,93,7152,0.61,0
10,full,17,-85.47999999999995,57,2,99,5264,0.35,0
11,full,17,-48.520000000000024,57,4,97,4528,0.43,0
12,full,17,-78.06999999999995,57,2,88,4856,0.44,0
13,full,17,-104.15999999999984,57,2,98,5328,0.28,0
14,full,17,-94.4499999999999,57,2,101,4640,0.3,0
15,full,17,-72.43999999999991,57,4,88,3448,0.39,0
16,full,17,-83.33999999999993,57,3,87,4960,0.38,0
17,full,17,-67.60000000000002,57,4,96,2904,0.37,0
18,full,17,-50.110000000000014,57,4,86,6072,0.5,0
19,full,17,-75.07999999999996,57,2,102,6128,0.38,0
20,full,17,-34.159999999999954,57,6,95,4736,0.41,0
21,full,17,-54.44999999999997,57,4,79,4792,0.51,0
22,full,17,-76.34999999999998,57,3,90,6912,0.4,0
23,full,17,-86.1499999999999,57,2,93,4320,0.38,0
24,full,17,-12.850000000000032,57,6,85,8000,0.58,0
25,full,17,-39.45000000000001,57,4,99,6208,0.47,0
26,full,17,-76.0,57,2,94,2216,0.43,0
27,full,17,-29.28000000000002,57,5,86,5280,0.55,0
28,full,17,-69.38999999999996,57,4,93,3816,0.38,0
29,full,17,-96.73999999999991,57,0,96,4744,0.41,0
30,full,17,-94.82000000000001,57,1,90,3848,0.4,0
31,full,17,-32.520000000000024,57,6,80,6680,0.51,0
32,full,17,-78.06999999999996,57,4,60,4704,0.52,0
33,full,17,-100.69999999999987,57,2,86,4400,0.36,0
34,full,17,-95.88999999999996,57,2,69,4768,0.48,0
35,full,17,-96.62999999999994,57,1,90,4104,0.38,0
36,full,17,-74.23999999999988,57,3,87,4208,0.42,0
37,full,17,-36.880000000000024,57,4,97,6088,0.48,0
38,full,17,-38.26000000000001,57,5,96,5880,0.42,0
39,full,17,-98.56999999999995,57,2,71,8312,0.47,0
40,full,17,-30.52000000000002,57,5,89,3864,0.51,0
41,full,17,-57.550000000000004,57,4,76,7632,0.52,0
42,full,17,-73.43,57,3,97,6136,0.38,0
43,full,17,-57.34000000000001,57,4,97,5448,0.38,0
44,full,17,-28.560000000000027,57,5,74,6536,0.62,0
45,full,17,18.319999999999975,42,7,65,2576,0.43,1
46,full,17,-96.35999999999989,57,1,93,2488,0.38,0
47,full,17,-57.36999999999993,57,4,81,5704,0.5,0
48,full,17,-40.15,57,5,85,6240,0.5,0
49,full,17,-96.15999999999993,57,2,94,3168,0.32,0
50,full,17,-51.10000000000001,57,2,90,7288,0.56,0
51,full,17,-36.710000000000036,57,5,93,7832,0.46,0
52,full,17,-35.12,57,5,72,5688,0.61,0
53,full,17,-67.28000000000002,57,3,101,6040,0.37,0
54,full,17,-68.50999999999992,57,3,81,4160,0.49,0
55,full,17,-54.50999999999998,57,4,90,4920,0.45,0
56,full,17,-46.18000000000001,57,4,96,5632,0.45,0
57,full,17,-25.57000000000003,57,6,89,5760,0.5,0
58,full,17,-72.09999999999998,57,3,91,4856,0.41,0
59,full,17,-114.34999999999982,57,3,85,3480,0.25,0
60,full,17,-40.040000000000006,57,4,97,5520,0.48,0
61,full,17,-32.58999999999997,57,5,92,6048,0.49,0
62,full,17,-16.030000000000037,57,6,93,7080,0.51,0
63,full,17,-50.39000000000002,57,4,86,8384,0.49,0
64,full,17,-89.07999999999997,57,2,92,3248,0.39,0
65,full,17,-99.2799999999999,57,1,71,4872,0.49,0
66,full,17,-53.280000000000015,57,3,106,5192,0.41,0
67,full,17,-65.19,57,2,94,6232,0.47,0
68,full,17,-29.190000000000005,57,5,94,6120,0.51,0
69,full,17,-35.62000000000002,57,3,107,7272,0.48,0
70,full,17,-51.68999999999998,57,3,98,7536,0.46,0
71,full,17,-25.19000000000002,57,4,89,4424,0.58,0
72,full,17,-61.86999999999995,57,3,79,4096,0.52,0
73,full,17,-63.04999999999999,57,3,78,6576,0.51,0
74,full,17,-62.229999999999954,57,4,88,4896,0.42,0
75,full,17,-62.01000000000001,57,2,91,6192,0.49,0
76,full,17,59.68000000000003,27,7,26,2432,0.49,1
77,full,17,-25.100000000000012,57,6,80,6776,0.55,0
78,full,17,-75.73999999999994,57,3,78,6592,0.45,0
79,full,17,-46.92000000000001,57,5,71,7184,0.56,0
80,full,17,-87.69999999999992,57,2,85,6016,0.43,0
81,full,17,-44.089999999999996,57,4,72,4392,0.6,0
82,full,17,-27.240000000000038,57,5,99,6160,0.46,0
83,full,17,-58.96,57,4,99,5304,0.37,0
84,full,17,-84.79999999999997,57,0,87,4080,0.5,0
85,full,17,-74.75999999999993,57,3,91,3224,0.4,0
86,full,17,-123.27999999999986,57,2,87,4808,0.26,0
87,full,17,-70.61,57,3,93,3008,0.4,0
88,full,17,-96.0999999999999,57,3,95,5360,0.27,0
89,full,17,-64.96000000000001,57,3,82,2496,0.5,0
90,full,17,-42.94000000000002,57,4,90,6864,0.51,0
91,full,17,-103.65999999999993,57,1,91,6640,0.36,0
92,full,17,-41.180000000000014,57,4,93,6480,0.48,0
93,full,17,-97.38999999999992,57,1,105,3376,0.31,0
94,full,17,-17.930000000000028,57,6,87,5288,0.54,0
95,full,17,-21.150000000000034,57,5,93,8144,0.53,0
96,full,17,-78.32999999999988,57,3,84,5080,0.42,0
97,full,17,-68.92,57,2,101,3928,0.42,0
98,full,17,-52.81,57,4,95,3632,0.41,0
99,full,17,-70.06999999999996,57,2,80,7464,0.54,0
100,full,17,-31.580000000000016,57,4,95,4936,0.52,0
101,full,17,-72.03999999999998,57,2,104,5800,0.38,0
102,full,17,-49.960000000000065,57,3,116,4160,0.35,0
103,full,17,-52.139999999999986,57,5,84,5432,0.46,0
104,full,17,-60.85000000000002,57,4,107,8360,0.33,0
105,full,17,-39.14000000000001,57,4,84,3280,0.55,0
106,full,17,-79.46999999999997,57,3,72,6240,0.48,0
107,full,17,-57.40000000000004,57,3,85,9072,0.51,0
108,full,17,-57.86999999999999,57,3,84,4488,0.52,0
109,full,17,-29.830000000000048,57,5,99,4464,0.46,0
110,full,17,-61.85,57,4,95,3296,0.4,0
111,full,17,-46.73000000000002,57,3,97,7568,0.5,0
112,full,17,-14.61000000000003,57,5,93,3984,0.56,0
113,full,17,-88.67999999999999,57,1,85,7688,0.47,0
114,full,17,-74.18999999999994,57,4,88,5552,0.35,0
115,full,17,-62.79000000000001,57,1,101,6568,0.49,0
116,full,17,-68.03999999999999,57,3,95,5704,0.4,0
117,full,17,-98.1599999999999,57,2,92,5312,0.32,0
118,full,17,4.210000000000014,57,6,88,8552,0.64,0
119,full,17,-71.67999999999998,57,2,85,7896,0.49,0
120,full,17,-29.09000000000002,57,5,88,6048,0.53,0
121,full,17,-21.69000000000001,57,5,95,4464,0.51,0
122,full,17,-38.13000000000001,57,3,86,6800,0.6,0
123,full,17,-39.920000000000016,57,3,103,2432,0.5,0
124,full,17,-88.72999999999996,57,2,87,3248,0.39,0
125,full,17,-48.07000000000003,57,4,81,7824,0.53,0
126,full,17,-2.0900000000000096,57,6,86,7032,0.61,0
127,full,17,-61.85000000000002,57,5,96,4336,0.33,0
128,full,17,-58.80000000000001,57,3,93,6560,0.46,0
129,full,17,-62.17999999999994,57,4,81,6464,0.48,0
130,full,17,-74.03999999999998,57,3,92,4440,0.39,0
131,full,17,-64.08000000000001,57,2,98,7344,0.46,0
132,full,17,-46.19000000000001,57,3,109,6032,0.42,0
133,full,17,-75.65999999999998,57,0,104,3912,0.46,0
134,full,17,-20.869999999999983,57,6,96,5776,0.47,0
135,full,17,-81.47999999999998,57,2,101,6328,0.36,0
136,full,17,9.039999999999988,44,7,56,5192,0.49,1
137,full,17,-69.31999999999998,57,2,88,8648,0.49,0
138,full,17,-62.30000000000001,57,1,96,3664,0.51,0
139,full,17,-54.27999999999999,57,4,92,7248,0.44,0
140,full,17,-107.01999999999997,57,0,87,5048,0.42,0
141,full,17,-62.09999999999997,57,4,82,6328,0.47,0
142,full,17,-61.81000000000002,57,2,98,5296,0.46,0
143,full,17,-45.550000000000004,57,3,91,7272,0.53,0
144,full,17,-22.700000000000003,57,4,92,5896,0.57,0
145,full,17,-46.82000000000001,57,4,87,5008,0.5,0
