episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,limited,5,-74.04,57,2,108,1456,0.34,0
2,limited,5,-64.57000000000001,57,4,107,1464,0.29,0
3,limited,5,-50.060000000000024,57,4,86,1504,0.48,0
4,limited,5,-16.78000000000003,57,6,77,1640,0.62,0
5,limited,5,-55.61000000000001,57,3,83,1600,0.53,0
6,limited,5,-71.69999999999996,57,2,92,1208,0.43,0
7,limited,5,-61.70999999999996,57,3,82,1704,0.5,0
8,limited,5,-57.85000000000001,57,4,89,1376,0.44,0
9,limited,5,-52.17,57,3,87,1304,0.52,0
10,limited,5,-68.51000000000005,57,5,85,1016,0.4,0
11,limited,5,-73.08999999999993,57,2,94,1552,0.44,0
12,limited,5,-49.34,57,4,90,1480,0.46,0
13,limited,5,-25.51000000000004,57,5,77,1864,0.61,0
14,limited,5,-56.41999999999996,57,3,92,1656,0.46,0
15,limited,5,-42.780000000000015,57,3,105,1336,0.45,0
16,limited,5,-63.229999999999926,57,3,81,1536,0.5,0
17,limited,5,-90.15999999999983,57,3,99,1128,0.28,0
18,limited,5,-40.36000000000002,57,4,78,1784,0.58,0
19,limited,5,-59.59000000000003,57,3,105,1800,0.37,0
20,limited,5,-52.71000000000001,57,3,87,2088,0.52,0
21,limited,5,-75.82999999999996,57,2,95,1112,0.41,0
22,limited,5,-62.47999999999999,57,3,94,1904,0.43,0
23,limited,5,-69.36999999999998,57,3,85,1248,0.47,0
24,limited,5,-13.890000000000025,57,5,100,1608,0.51,0
25,limited,5,-19.90000000000003,57,5,93,1744,0.52,0
26,limited,5,-43.06000000000002,57,4,96,1736,0.46,0
27,limited,5,-46.07,57,3,89,2160,0.54,0
28,limited,5,-71.79,57,3,99,1472,0.37,0
29,limited,5,-78.22999999999993,57,1,98,1272,0.42,0
30,limited,5,-69.99999999999996,57,3,86,1376,0.46,0
31,limited,5,-21.17000000000002,57,5,77,1616,0.63,0
32,limited,5,-21.499999999999993,57,4,96,1408,0.56,0
33,limited,5,-90.74,57,2,86,936,0.43,0
34,limited,5,-23.700000000000014,57,5,97,2016,0.49,0
35,limited,5,-7.490000000000019,57,5,85,2336,0.65,0
36,limited,5,-70.02999999999996,57,2,86,1456,0.49,0
37,limited,5,-47.60999999999997,57,3,84,2016,0.56,0
38,limited,5,-35.90000000000001,57,3,96,1848,0.52,0
39,limited,5,-58.560000000000024,57,2,86,1576,0.56,0
40,limited,5,-51.97,57,4,90,1696,0.46,0
41,limited,5,-26.220000000000013,57,5,73,1624,0.62,0
42,limited,5,-55.730000000000004,57,1,105,1560,0.47,0
43,limited,5,-58.43,57,4,102,1560,0.36,0
44,limited,5,-63.590000000000025,57,3,99,1904,0.4,0
45,limited,5,-69.79999999999998,57,4,71,1264,0.49,0
46,limited,5,-45.08999999999999,57,3,93,1680,0.52,0
47,limited,5,-42.43000000000003,57,4,100,1640,0.44,0
48,limited,5,-86.93999999999998,57,2,81,1104,0.46,0
49,limited,5,-47.150000000000006,57,4,86,1640,0.51,0
50,limited,5,-20.990000000000027,57,6,78,1080,0.61,0
51,limited,5,-40.85,57,5,86,1216,0.5,0
52,limited,5,-23.320000000000004,57,4,91,2144,0.57,0
53,limited,5,-40.32000000000003,57,4,91,1824,0.5,0
54,limited,5,-26.199999999999992,57,4,95,1408,0.55,0
55,limited,5,-67.67999999999994,57,3,79,1640,0.49,0
56,limited,5,-74.25,57,2,93,1880,0.43,0
57,limited,5,-55.02000000000004,57,3,97,2184,0.45,0
58,limited,5,-22.480000000000008,57,5,94,1344,0.51,0
59,limited,5,-71.92999999999994,57,3,86,1456,0.45,0
60,limited,5,-67.07,57,2,101,1216,0.41,0
61,limited,5,-63.96,57,4,72,1528,0.51,0
62,limited,5,-24.940000000000023,57,5,84,1512,0.57,0
63,limited,5,-18.010000000000034,56,7,92,2184,0.45,1
64,limited,5,-30.31000000000002,57,5,96,1696,0.47,0
65,limited,5,-43.96,57,4,95,1752,0.45,0
66,limited,5,-63.96999999999997,57,4,81,1280,0.46,0
67,limited,5,-57.65000000000005,57,4,110,1952,0.32,0
68,limited,5,-67.55999999999996,57,3,83,1144,0.49,0
69,limited,5,-33.53000000000002,57,4,100,1600,0.48,0
70,limited,5,-51.23000000000005,57,4,85,1216,0.51,0
71,limited,5,-58.77999999999999,57,3,94,1688,0.45,0
72,limited,5,-69.33000000000001,57,3,88,2016,0.43,0
73,limited,5,-56.99000000000001,57,4,90,1984,0.45,0
74,limited,5,-35.140000000000015,57,4,91,1952,0.53,0
75,limited,5,-34.80000000000003,57,4,95,1824,0.51,0
76,limited,5,-90.6599999999999,57,2,84,1416,0.42,0
77,limited,5,-75.76999999999992,57,3,101,1656,0.33,0
78,limited,5,-70.13999999999999,57,2,101,2024,0.4,0
79,limited,5,-45.57,57,3,88,1512,0.54,0
80,limited,5,-92.2999999999999,57,1,84,1280,0.46,0
81,limited,5,-66.65999999999991,57,5,87,1576,0.37,0
82,limited,5,-25.750000000000018,57,4,88,2296,0.59,0
83,limited,5,30.710000000000075,40,7,56,1008,0.48,1
84,limited,5,-27.970000000000006,57,5,80,1600,0.57,0
85,limited,5,-51.210000000000015,57,5,78,1632,0.48,0
86,limited,5,-26.92000000000002,57,5,98,1456,0.48,0
87,limited,5,-36.72999999999997,57,4,100,1768,0.46,0
88,limited,5,-17.840000000000014,57,5,81,1648,0.62,0
89,limited,5,-40.20000000000001,57,4,84,1416,0.55,0
90,limited,5,-36.47999999999999,57,4,87,1696,0.55,0
91,limited,5,-62.69999999999998,57,4,79,1424,0.48,0
92,limited,5,-98.81999999999987,57,3,81,1336,0.35,0
93,limited,5,-44.96999999999999,57,3,91,1560,0.54,0
94,limited,5,-24.310000000000027,57,5,101,1832,0.47,0
95,limited,5,-63.920000000000016,57,4,77,2024,0.48,0
96,limited,5,-70.28000000000003,57,2,104,1976,0.39,0
97,limited,5,-88.53999999999998,57,3,63,1584,0.5,0
98,limited,5,-65.37999999999997,57,3,83,2048,0.5,0
99,limited,5,-71.07999999999998,57,3,90,1488,0.41,0
100,limited,5,-43.5,57,4,85,1504,0.53,0
101,limited,5,-35.01000000000001,57,4,88,1856,0.54,0
102,limited,5,-34.35000000000002,57,6,93,1296,0.43,0
103,limited,5,-16.35000000000003,57,6,83,1144,0.59,0
104,limited,5,-71.21999999999997,57,2,94,1672,0.43,0
105,limited,5,-44.73000000000001,57,4,97,1672,0.45,0
106,limited,5,-120.84999999999994,57,1,62,1824,0.46,0
107,limited,5,-70.17999999999998,57,2,90,1176,0.49,0
108,limited,5,-56.699999999999996,57,4,101,1752,0.37,0
109,limited,5,-40.81,57,4,87,1416,0.52,0
110,limited,5,-93.16999999999993,57,2,77,1688,0.44,0
111,limited,5,20.709999999999972,41,7,66,1208,0.4,1
112,limited,5,-45.46,57,3,92,1632,0.52,0
113,limited,5,-99.04999999999994,57,2,76,1264,0.43,0
114,limited,5,-72.04999999999998,57,2,96,1752,0.42,0
115,limited,5,-60.18000000000001,57,2,88,1568,0.52,0
116,limited,5,-35.92,57,4,87,1536,0.54,0
117,limited,5,-79.28999999999994,57,2,97,1120,0.4,0
118,limited,5,-56.64,57,5,93,1568,0.37,0
119,limited,5,-62.29999999999997,57,4,88,1568,0.43,0
120,limited,5,-80.42999999999999,57,3,74,1128,0.48,0
121,limited,5,7.469999999999987,57,6,89,1960,0.64,0
122,limited,5,-71.62999999999991,57,3,78,1848,0.5,0
123,limited,5,-22.110000000000017,57,6,85,1592,0.54,0
124,limited,5,-69.62999999999995,57,5,59,1224,0.53,0
