episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,selective,97,-43.07000000000002,57,6,91,608,0.42,0
2,selective,97,-48.02000000000004,57,4,88,784,0.48,0
3,selective,97,-54.030000000000015,57,4,88,648,0.46,0
4,selective,97,-64.52000000000002,57,4,85,672,0.43,0
5,selective,97,-84.04999999999991,57,2,94,496,0.4,0
6,selective,97,-108.01999999999985,57,2,84,536,0.34,0
7,selective,97,-65.92999999999998,57,3,81,752,0.49,0
8,selective,97,-123.81999999999984,57,1,85,584,0.3,0
9,selective,97,-57.72000000000002,57,2,99,632,0.46,0
10,selective,97,-54.739999999999995,57,5,83,640,0.44,0
11,selective,97,-117.65999999999997,57,0,75,568,0.43,0
12,selective,97,-33.590000000000025,57,4,94,728,0.53,0
13,selective,97,-31.410000000000018,57,4,84,632,0.58,0
14,selective,97,-54.04000000000001,57,3,84,696,0.52,0
15,selective,97,-55.82,57,2,105,584,0.44,0
16,selective,97,-41.810000000000024,57,5,75,712,0.54,0
17,selective,97,-47.97999999999999,57,4,82,728,0.52,0
18,selective,97,-61.99,57,4,87,760,0.42,0
19,selective,97,-36.90000000000006,57,6,87,632,0.47,0
20,selective,97,-86.05999999999999,57,2,83,624,0.44,0
21,selective,97,-74.81,57,2,91,600,0.47,0
22,selective,97,-101.83999999999985,57,3,82,560,0.32,0
23,selective,97,-13.279999999999966,57,6,92,776,0.51,0
24,selective,97,-94.87999999999991,57,3,85,576,0.34,0
25,selective,97,-33.50000000000003,57,4,106,624,0.43,0
26,selective,97,-77.21999999999997,57,2,85,600,0.48,0
27,selective,97,-54.52999999999999,57,5,88,680,0.42,0
28,selective,97,-41.19000000000003,57,4,95,744,0.48,0
29,selective,97,-51.00000000000003,57,4,95,696,0.44,0
30,selective,97,-28.18000000000002,57,6,105,664,0.39,0
31,selective,97,-58.36,57,4,84,640,0.46,0
32,selective,97,-22.530000000000015,57,4,101,912,0.5,0
33,selective,97,-100.08999999999986,57,1,90,536,0.38,0
34,selective,97,-16.880000000000017,57,5,94,856,0.55,0
35,selective,97,-65.08999999999999,57,4,69,728,0.53,0
36,selective,97,-30.16000000000002,57,4,92,752,0.55,0
37,selective,97,-18.42000000000001,57,5,84,776,0.59,0
38,selective,97,-14.03000000000004,57,6,88,728,0.55,0
39,selective,97,-26.550000000000015,57,5,89,808,0.52,0
40,selective,97,-86.1199999999999,57,3,93,464,0.33,0
41,selective,97,-72.86999999999995,57,2,101,720,0.38,0
42,selective,97,-60.010000000000005,57,3,92,640,0.46,0
